"Book_ID","Language"
14889274109,English
14891881212,English
14895281444,English
14895281452,English
14895281458,English
14895281462,English
14895291420,English
14897164087,English
14913038423,English
14914486319,English
14921655816,English
14943013837,English
14958342120,English
14963741607,English
14964592416,English
14964592417,English
14964592419,English
14964592420,English
15005323097,English
15030457898,German
15039149220,English
15041448097,English
15042198716,English
15060663339,English
15066688237,English
15159625298,English
15159625300,English
15163418190,English
15173959176,English
15187076054,English
15188396493,English
15206397400,English
15212889762,English
15213299214,English
15214784236,English
15226185250,English
15226709513,English
15243867308,English
15243867339,English
15294951886,English
15296155759,English
15296155760,English
15300392045,English
15301278095,English
15331172009,English
15359630686,English
15362937128,English
15367051897,English
15384015456,English
15384054727,English
15386250223,English
15410004301,English
15439783890,English
15453811073,English
15464901046,English
15470076869,English
15517305565,English
15517306699,English
15517308143,English
15520750987,English
15520993925,English
15525170056,English
15525798769,English
15525845142,English
15525884513,English
15527906473,English
15571672876,English
15571704227,English
15638297746,English
15656482007,English
15683045531,English
15694218510,English
15716753937,English
15774458757,English
15783289978,English
15807602652,English
15825062723,English
15828219337,English
15855587719,English
15856673068,English
15900922195,English
15915053638,English
15915791166,English
15952430337,English
15970996181,English
15978876391,English
15991799274,English
15997465651,English
15997839752,English
16021961701,English
16036418904,English
16086716056,English
16096576979,English
16116352098,Hindi
16116355778,Hindi
16116359654,Hindi
16116362896,Hindi
16116364089,Hindi
16116367014,Hindi
16118374025,English
16120268196,English
16142069000,Hindi
16145374882,English
16201619952,English
16203185355,English
16239547366,English
16276914141,English
16278513656,English
16312342810,English
16323959286,English
16324278063,English
16330951430,Russian
16330952484,Russian
16371049068,English
16371049073,English
16384871098,English
16419499823,English
16426233795,French
16428300969,English
16428300971,English
16428300972,English
16450862320,English
16453973034,English
16454878546,English
16513127598,English
16519215375,English
16542309530,English
16578327945,English
16588001628,English
16592408166,English
16594898283,English
16596202671,Hindi
16600501267,English
16600508056,English
16600762180,Hindi
16601861016,English
16601886064,Hindi
16602129099,Hindi
16602168745,Hindi
16603877763,English
16611516310,English
16640601048,English
16640601201,English
16643174395,English
16671755573,English
16690803872,English
16706186722,English
16706849542,English
16714225284,English
16715075061,English
16749435712,English
16776959296,English
16794748174,English
16844567718,English
16871413041,English
16873495682,English
16874614484,English
16880343450,English
16881755652,English
16898443201,English
16905951321,English
16930900445,English
16933703021,English
16934782654,English
16940409129,English
16954172532,English
16954201242,English
16955787908,English
16956632895,English
16957502267,English
17004356376,English
17004356569,English
17004357111,English
