"Name","Number_of_Books"
Leigh // Wallis Brackett,1
Leigh Brackett,708
Leigh Brackett /Donald Wallis,1
Leigh Brackett /Robert Moore Williams,2
Leigh Brackett A E Van Vogt,5
Leigh Brackett D.D. Sharp,1
Leigh Brackett Edited By Oscar J. Friend With Stories By Carl Jacobi,1
Leigh Brackett Edited By Samuel Mines With Stories By A. E. Van Vogt,1
Leigh Brackett Edited By Samuel Mines With Stories By Jack Vance,1
Leigh Brackett Edited By Samuel Mines With Stories By L. Sprague De Camp,2
Leigh Brackett Etc,1
Leigh Brackett G. Mcdonald Wallis,1
Leigh Brackett Marion Zimmer Bradley,1
Leigh Brackett Mary Rosenthal,1
Leigh Brackett Venture Science Fiction Tom Godwin,1
Leigh Brackett-Philip K. Dick,1
Leigh Brackett.,4
Leigh Douglas Brackett,1
Leigh Douglass Brackett,1
Leigh Ed. Brackett,1
Leigh Und Tony Westermayr Brackett,2
Leigh Writing As George Sanders Brackett,1
Leigh. Brackett,12
Leigh/ Wallis Brackett,1
Leigh/Leigh Brackett/Brackett,2
Leigh/Leigh. Brackett/Brackett.,1
Leigh/Silverger Brackett,1
Leo Margulies,4
Leo Ray Bradbury Margolies,1
Les Martin H. G. Wells,3
Les Pendules Agatha Christie,2
Leslie Bain,1
Leslie Charteris,5
Lester Del Rey Edited By Donald A. Wollheim With Stories By Chad Oliver,1
Lin,2
Lin / Baxter Carter,3
Lin / Frank Belknap Long Carter,1
Lin / Long Carter,2
Lin / Neville Carter,1
Lin /Editor Carter,2
Lin Carter,1091
Lin Carter / George H. Smith,1
Lin Carter David R. Bunch,1
Lin Carter George H. Smith,1
Lin Carter J.R.R. Tolkien,1
Lin Carter L Sprague De Camp,2
Lin Carter L. Sprague De Camp,24
Lin Carter Robert E. Howard,3
Lin Carter Thomas Burnett Swann,1
Lin Carter.,1
Lin Carter/George H. Smith,1
Lin Carter/John Rackham,1
Lin Ed. Carter,4
Lin With Cover Illustration By Gray Morrow Carter,1
Lin--Editor Carter,2
Lin. Carter,1
Lin/Neville Carter,2
Linda Parry,5
Lindsay Smith,4
Lisbeth Zwerger Charles Dickens,1
Lord Dunsany,25
Los Piratas De Skaith,1
Loti,1
Lovecraft,3
Lovecraft H. P. Derleth August,1
Lovecraft H.P.,1
Lovecraft H.P. / Derleth August,2
Lovecraft H.P. Derleth August,1
Lovecraft Howard Phillips,1
Lovecraft Howard Phillips / Derleth August,1
Lovecraft Howard Phillips Derleth August,1
Lucilla Andrews,3
M Hague,1
M Manent,1
Mabel Loomis Todd,1
Mabel Loomis Todd Emily Dickinson,1
Maccomas J. Francis,1
Mack Reynolds,5
Malcolm Reiss,1
Mallory Storm Stories By August Derleth,1
Manly Banister,1
Manly Wade Wellman,17
Margaret Alice Murray,16
Margaret Saint-Clair,1
Margaret St. Clair,14
Marigny,1
Marilyn Jax,1
Marion Zimmer Bradley,1
Mark,1
Mark St. Amant,1
Mark Twain,34
Martin Keogh,1
Marvin Kaye,1
Mary Ann Lamb,1
Mary C. Jane,1
Mary Wollstonecraft Shelley,24
Maurus JÃ kai,1
Maynard Mack,1
Md John Bernard Henry James Campbell Todd,1
Mel Anastasiou,1
Melvin D. Joesten John C. Kotz,3
Merritt Abraham,1
Merte Ahnfeldt-Mollerup,1
Michael Croft,2
Michael Moorcock,25
Michael Og Poul Otto Nielsel Andersen,1
Michael Og Poul Otto Nielsen Andersen,1
Mike Lupica,1
Mike Mason,1
Miriam Allen Deford,2
Moorcock Michael,1
Mr E. A. Wallis Budge,4
Mult-Leigh Brackett-Harness-Sheldon-St. Clair,2
Murray Leinster,1
Murray Leinster Arthur C. Clarke,1
Murray Shaw,1
Murray Shaw Arthur Conan Doyle,3
Myrle Benedict,1
Mâr Gregory John Bar Hebræus E. A. Wallis Budge,1
Nabia Abbott,12
Nabia. Abbott,1
Nathaniel,2
Nathaniel Bradstreet Shurtleff,1
Nathaniel Hawthorne,14
Nathaniel Hawthorne C. W. E. Bigsby,1
Nathaniel Hawthorne Edgar Allan Poe,1
Nathaniel Hawthorne P. Craig Russell,1
Nathaniel Hawthorne Sparknotes,1
Neil Barret Jr Isaac Asimov,1
Nigel Balchin H Bedford Jones,1
Nils Osmar,1
Nn,1
Noah Tsika,1
Noel Loomis,3
Norman,2
O.Henry Saki,5
Offutt Andrew J.,1
Orbit Science Fiction),1
